Name,Conductivity [W/m.K],Density [kg/m3],Roughness,SpecificHeat [J/kg.K],ThermalAbsorptance [0-1],SolarAbsorptance [0-1],VisibleAbsorptance [0-1],PhaseChange,VariableConductivity,TemperatureArray [C],EnthalpyArray [J/kg],VariableConductivityArray [W/m-K],EmbodiedEnergy [MJ/Kg],EmbodiedEnergyStdDev,EmbodiedCarbon [kgCO2eq/Kg],EmbodiedCarbonStdDev,Cost [$/m3],Life [yr],Category,Comment,DataSource
defaultMat,2.3,2400,Rough,840,0.9,0.7,0.7,False,False,[],[],[],0,0,0,0,0,10,Concrete,No comments,No data source
Pine wood,0.13,520,Rough,1600,0.9,0.7,0.7,False,False,[],[],[],10,0,0.71,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.31fos + 0.41bio-embodied cabon emissions)],No data source
Douglas fir,0.12,530,Rough,1600,0.9,0.7,0.7,False,False,[],[],[],10,0,0.71,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.31fos + 0.41bio-embodied cabon emissions)],No data source
Oak,0.18,690,Rough,2400,0.9,0.7,0.7,False,False,[],[],[],10,0,0.71,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.31fos + 0.41bio-embodied cabon emissions)],No data source
Spruce,0.13,450,Rough,1600,0.9,0.7,0.7,False,False,[],[],[],10,0,0.71,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.31fos + 0.41bio-embodied cabon emissions)],No data source
Larch,0.13,460,Rough,1600,0.9,0.7,0.7,False,False,[],[],[],10,0,0.71,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.31fos + 0.41bio-embodied cabon emissions)],No data source
Oriented strand board,0.13,650,Rough,1700,0.9,0.7,0.7,False,False,[],[],[],15,0,0.96,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.45fos + 0.54 bio- embodied carbon emissions)],No data source
Medium density fiberboard,0.09,500,Rough,1700,0.9,0.7,0.7,False,False,[],[],[],11,0,0.72,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.39fos + 0.35bio- embodied carbon emissions)],No data source
Chipboard,0.14,650,Rough,1800,0.9,0.7,0.7,False,False,[],[],[],10,0,0.71,0,0,10,Timber,[lambda  rho c: U-Wert.net][LCA  ICE (0.39fos + 0.35bio- embodied carbon emissions)],No data source
Concrete,2,2400,Rough,950,0.9,0.7,0.7,False,False,[],[],[],0.75,0,0.1,0,0,10,Concrete,"[lambda  rho c: U-Wert.net][LCA  ICE, General Concrete data]",No data source
General Concrete,2,2400,Rough,950,0.9,0.7,0.7,False,False,[],[],[],0.75,0,0.1,0,0,10,Concrete,"[lambda  rho c: U-Wert.net][LCA  ICE, General Concrete data]",No data source
