Name,CoolingCoeffOfPerf,HeatingCoeffOfPerf,HeatingSetpoint [C],CoolingSetpoint [C],HeatingSetpointConstant,CoolingSetpointConstant,HeatingSetpointSchedule,CoolingSetpointSchedule,HeatIsOn,CoolIsOn,MechVentIsOn,HumidistatOnOff,HeatingLimitType,CoolingLimitType,MaxHeatingCapacity [W/m2],MaxCoolingCapacity [W/m2],MaxHeatFlow [m3/s/m2],MaxCoolFlow [m3/s/m2],HeatingSchedule,CoolingSchedule,MechVentSchedule,MinFreshAirPerson [L/s/p],MinFreshAirArea [L/s/m2],EconomizerType,HeatRecoveryType,HeatRecoveryEfficiencySensible,HeatRecoveryEfficiencyLatent,MinHumidity [RH%],MaxHumidity [RH%],Category,Comment,DataSource
Off,1,1,19,26,True,True,S21 B18 8to18,S25 B30 8to18,False,False,False,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,0,0,NoEconomizer,None,0.7,0.65,20,80,Default,No comments,No data source
Residential,1,1,19,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,8,0.222222222222222,NoEconomizer,Sensible,0.6,0.65,20,80,Residential,No comments,SIA Merkblatt 2024
Kitchen,1,1,20,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,0,5,NoEconomizer,Sensible,0.6,0.65,20,80,Residential,No comments,SIA Merkblatt 2024
Office,1,1,20,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,10,1,NoEconomizer,Sensible,0.6,0.65,20,80,Office,No comments,SIA Merkblatt 2024
MeetingRoom,1,1,20,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,10,3,NoEconomizer,Sensible,0.6,0.65,20,80,Office,No comments,SIA Merkblatt 2024
HotelRoom,1,1,21,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,10,1,NoEconomizer,Sensible,0.6,0.65,20,80,Residential,No comments,SIA Merkblatt 2024
ClassRoom,1,1,21,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,6.94444444444444,2.30555555555556,NoEconomizer,Sensible,0.6,0.65,20,80,Education,No comments,SIA Merkblatt 2024
Library,1,1,21,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,True,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,10,2,NoEconomizer,Sensible,0.6,0.65,35,45,Education,No comments,SIA Merkblatt 2024
LectureHall,1,1,20,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,8.33333333333333,4.16666666666667,NoEconomizer,Sensible,0.6,0.65,20,80,Education,No comments,SIA Merkblatt 2024
SuperMarket,1,1,20,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,True,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,8.33333333333333,2.77777777777778,NoEconomizer,Sensible,0.6,0.65,35,45,Commercial,No comments,SIA Merkblatt 2024
Shopping,1,1,20,26,True,True,S21 B18 8to18,S25 B30 8to18,True,True,True,False,NoLimit,NoLimit,100,100,100,100,AllOn,AllOn,AllOn,8.33333333333333,1.66666666666667,NoEconomizer,Sensible,0.6,0.65,20,80,Commercial,No comments,SIA Merkblatt 2024
