Name,RoofConstruction,FacadeConstruction,SlabConstruction,PartitionConstruction,GroundConstruction,GroundIsAdiabatic,RoofIsAdiabatic,FacadeIsAdiabatic,SlabIsAdiabatic,PartitionIsAdiabatic,InternalMassConstruction,InternalMassExposedAreaPerArea,SurfaceConvectionModelInside,SurfaceConvectionModelOutside,ZonePriority,DaylightMeshResolution,DaylightWorkplaneHeight,Category,Comment,DataSource
Default,defaultConstruction,defaultConstruction,defaultConstruction,defaultConstruction,defaultConstruction,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
SolidWood,300mmInsulation 94mmSolidWood 24mmGypsum,300mmInsulation 94mmSolidWood 24mmGypsum,150mmScreedWithImpactSoundInsulation 140mmSolidWood,12mmGypsum 78mmSolidWood 12mmGypsum,120mmInsulation 200mmConcrete,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.1_Mass,UVal_0.1_Mass,UVal_0.1_Mass,Slab_Mass,Partition_Mass,UVal_0.1_Mass,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.1_Light,UVal_0.1_Light,UVal_0.1_Light,Slab_Light,Partition_Light,UVal_0.1_Light,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.2_Mass,UVal_0.2_Mass,UVal_0.2_Mass,Slab_Mass,Partition_Mass,UVal_0.2_Mass,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.2_Light,UVal_0.2_Light,UVal_0.2_Light,Slab_Light,Partition_Light,UVal_0.2_Light,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.3_Mass,UVal_0.3_Mass,UVal_0.3_Mass,Slab_Mass,Partition_Mass,UVal_0.3_Mass,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.3_Light,UVal_0.3_Light,UVal_0.3_Light,Slab_Light,Partition_Light,UVal_0.3_Light,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.4_Mass,UVal_0.4_Mass,UVal_0.4_Mass,Slab_Mass,Partition_Mass,UVal_0.4_Mass,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
UVal_0.4_Light,UVal_0.4_Light,UVal_0.4_Light,Slab_Light,Partition_Light,UVal_0.4_Light,False,False,False,False,False,defaultConstruction,0,TARP,DOE2,1,1,0.8,No Category,No comments,No data source
